lemma	krip	sp
ball_nn	-0.041985089593544966	-0.018577277002607438
attack_nn	-0.07702836608882357	-0.0046074158241906265
player_nn	0.07233848473759796	0.07352671199881897
rag_nn	-0.05816409637999431	-0.05964569849628677
multitude_nn	-0.19401516935699759	-0.07814946376918386
donkey_nn	-0.39743260012976767	-0.003108256337060148
pin_vb	0.010736427097053358	0.024161073658892855
head_nn	-0.028098134164569855	-0.033835604046894244
record_nn	0.003889858006436042	0.030767297766113023
fiction_nn	-0.16278295907410567	0.0179364987150286
bar_nn	-0.10396894622548447	0.03509520830508839
bit_nn	0.020023450177126367	0.04416699079940296
risk_nn	-0.39782451884150305	-0.021102953504564568
stroke_vb	-0.06678979053947476	-0.000800593836314119
lane_nn	-0.05163712578486068	-0.007982102045955203
part_nn	0.02477848085698231	0.025644784036777446
chef_nn	0.06862923078863425	0.10341525541887245
land_nn	-0.06317595800828357	-0.05089482801453759
word_nn	-0.06855634446791181	-0.0033280409259462255
plane_nn	-0.08092492252879313	-0.057637063397917215
circle_vb	-0.009086476080228945	0.013016987917495266
contemplation_nn	-0.19002387531800613	0.08153813513712513
tip_vb	-0.12583056324483	-0.01832542168545338
face_nn	-0.0036830323240775176	0.07389963390482204
savage_nn	-0.25505047221816834	0.04386026363424364
stab_nn	0.012949386849108069	0.01482881684749018
heel_nn	0.04079121418838916	0.05281552936962146
bag_nn	-0.19714022912340812	0.07357379930926425
tree_nn	-0.5324685591421481	-0.07033377048530631
afternoon_nn	-0.4529001638747079	-0.05525567295461795
maxim_nn	-0.1738972688283793	-0.04086317390079313
include_vb	-0.319073503574423	0.04829928083181622
pick_vb	0.01013618722282994	0.02048680874604754
thump_nn	-0.1541345624179662	0.02790552722911572
gas_nn	-0.14514187386502075	-0.0042190650389119936
ounce_nn	-0.12469464717368273	-0.022866323178918544
edge_nn	0.047844300453421584	0.05022998299905062
chairman_nn	-0.4651195600902085	0.02273743555729055
relationship_nn	-0.2207047935210582	-0.06489794079985702
prop_nn	-0.038165296740753085	0.030646175924345303
graft_nn	-0.010962461692398673	-0.006612689200116666
lass_nn	0.05356178036824055	0.04447421662322209
quilt_nn	-0.32270702949654995	-0.0662469586365873
rally_nn	-0.0670189512549908	-0.0607038375522508
twist_nn	0.028224871692220543	0.02899976753195382
grain_nn	0.04148146888957216	0.04634650586790852
